# CSV-File created with merge-csv.com,,,,,,
title, link ,,lat,lon,,
Latah County Library,http://www.latahlibrary.org/,Idaho,44.240459,-114.478828,,
Lewiston City Library,http://www.lewistonlibrary.org/,Idaho,44.240459,-114.478828,,
Madison Library District,http://www.madisonlib.org/,Idaho,44.240459,-114.478828,,
Marshall Public Library,http://www.marshallpl.org/,Idaho,44.240459,-114.478828,,
Meridian Library District,http://www.mld.org/,Idaho,44.240459,-114.478828,,
Nampa Public Library,http://www.nampalibrary.org/,Idaho,44.240459,-114.478828,,
Notus Public Library,http://notus.lili.org/,Idaho,44.240459,-114.478828,,
Prairie River Library District,http://prairieriver.lili.org/,Idaho,44.240459,-114.478828,,
Soda Springs Public Library,http://soda.lili.org/,Idaho,44.240459,-114.478828,,
Stanley Community Public Library District,http://www.ruralnetwork.net/~stanlib/index.html,Idaho,44.240459,-114.478828,,
The Community Library,http://www.thecommunitylibrary.org/,Idaho,44.240459,-114.478828,,
Twin Falls Public Library,http://www.twinfallspubliclibrary.org/,Idaho,44.240459,-114.478828,,
West Bonner Library District,http://westbonner.lili.org/,IdahoAlexandria-Monroe Public Library,44.240459,-114.478828,,
Alexandrian Public Library,http://www.apl.lib.in.us/,IN,39.849426,-86.258278,,
Allen County Public Library,http://www.acpl.lib.in.us/,IN,39.849426,-86.258278,,
Anderson Public Library,http://www.and.lib.in.us/,IN,39.849426,-86.258278,,
Avon-Washington Township Public Library,http://avtp.sdp.sirsi.net/client/default,IN,39.849426,-86.258278,,
Bartholomew County Public Library,http://www.barth.lib.in.us/,IN,39.849426,-86.258278,,
Batesville Memorial Public Library,http://www.ebatesville.com/library/,IN,39.849426,-86.258278,,
Bedford Public Library.,http://www.bedlib.org/,IN,39.849426,-86.258278,,
Beech Grove Public Library,http://www.bgpl.lib.in.us/,IN,39.849426,-86.258278,,
Benton County Public Library,http://www.bentoncounty.in.gov/libraries,IN,39.849426,-86.258278,,
Bicknell-Vigo Township Public Library,http://www.bicknell-vigo.lib.in.us/,IN,39.849426,-86.258278,,
Bloomfield-Eastern Greene County Public Library,http://www.bloomfield.lib.in.us/,IN,39.849426,-86.258278,,
Breeden Memorial Library,http://leavenworthindiana.org/library.html,IN,39.849426,-86.258278,,
Bremen Public Library,http://www.bremen.lib.in.us/,IN,39.849426,-86.258278,,
Bristol Public Library - Indiana,http://www2.youseemore.com/bristolwash/,IN,39.849426,-86.258278,,
Brook-Iroquois Township Public Library,http://www.brook.lib.in.us/,IN,39.849426,-86.258278,,
Brookston Prairie Township Public Library,http://brookstonlibrary.org/,IN,39.849426,-86.258278,,
Brown County Public Library,http://browncounty.lib.in.us/home/,IN,39.849426,-86.258278,,
Brownsburg Public Library,http://www.brownsburg.lib.in.us/,IN,39.849426,-86.258278,,
Butler Public Library,http://www.butlerlibrary.info/,IN,39.849426,-86.258278,,
Carmel Clay Public Library,http://www.carmel.lib.in.us/,IN,39.849426,-86.258278,,
Carnegie Public Library of Steuben County,http://www.steuben.lib.in.us/,IN,39.849426,-86.258278,,
Centerville Center Township Public Library,http://www.centervillelibrary.info/,IN,39.849426,-86.258278,,
Clinton Public Library.,http://www.clintonpl.lib.in.us/,IN,39.849426,-86.258278,,
Colfax Public Library,http://www.colfaxpubliclibrary.org/,IN,39.849426,-86.258278,,
Crawford County Public Library,http://www.ccpl.lib.in.us/,IN,39.849426,-86.258278,,
Crawfordsville District Public Library,http://www.cdpl.lib.in.us/,IN,39.849426,-86.258278,,
Crown Point Community Library,http://crownpointlibrary.org/,IN,39.849426,-86.258278,,
Danville Public Library,http://www.dplindiana.org/,IN,39.849426,-86.258278,,
Dearborn County Indiana,http://www.dearborncounty.org/aurlib/,IN,39.849426,-86.258278,,
